Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
41202#A414#Sepsis due to anaerobes	Chapter I Certain infectious and parasitic diseases	European	0.0077	2.6951	allelic	30	21	8	1	0.1667	0.3	0.033333333	430552	373137	55342	2073	0.0691	0.133352069	0.004814749	1.3667	5.3145
Union#A044#Other intestinal Escherichia coli infections	Chapter I Certain infectious and parasitic diseases	European	0.0023	2.5198	allelic	51	38	10	3	0.1569	0.254901961	0.058823529	294154	255107	37643	1404	0.0688	0.132743393	0.00477301	1.4776	4.2969
Union#A09#Other gastroenteritis and colitis of infectious and unspecified origin	Chapter I Certain infectious and parasitic diseases	European	0.0042	1.054	allelic	24462	21056	3285	121	0.0721	0.139236367	0.004946448	284990	247209	36432	1349	0.0687	0.132569564	0.004733499	1.017	1.0924
Union#Block A00-A09#A00-A09 Intestinal infectious diseases	Chapter I Certain infectious and parasitic diseases	European	0.0098	1.0473	allelic	25787	22223	3422	142	0.0719	0.138209175	0.005506651	287297	249127	36789	1381	0.0688	0.132859027	0.004806872	1.0114	1.0846
40001#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	0.0008123	1.1634	allelic	3535	3001	506	28	0.0795	0.15106082	0.007920792	290025	251343	37285	1397	0.0691	0.133374709	0.004816826	1.0667	1.2689
40001#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	0.000895	1.1636	allelic	3435	2916	491	28	0.0796	0.151091703	0.008151383	293724	254447	37901	1376	0.0692	0.133720772	0.00468467	1.0656	1.2705
40001#C349#Malignant neoplasm: Bronchus or lung unspecified	Chapter II Neoplasms	European	0.0009521	1.1642	allelic	3377	2868	481	28	0.0795	0.150725496	0.008291383	293931	254721	37816	1394	0.0691	0.133398655	0.00474261	1.0653	1.2722
40002#Block C45-C49#C45-C49 Malignant neoplasms of mesothelial and soft tissue	Chapter II Neoplasms	European	0.0053	2.6961	allelic	33	24	7	2	0.1667	0.272727273	0.060606061	341191	295688	43881	1622	0.0691	0.133365183	0.004753935	1.4111	5.1512
40006#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	0.0057	1.1077	allelic	5439	4644	764	31	0.0759	0.146166575	0.005699577	289482	250880	37220	1382	0.0691	0.133348533	0.004774045	1.0311	1.19
40006#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	0.0082	1.1082	allelic	4919	4200	690	29	0.076	0.14616792	0.005895507	304134	263532	39160	1442	0.0691	0.133500365	0.004741331	1.0279	1.1948
40006#C693#Malignant neoplasm: Choroid	Chapter II Neoplasms	European	0.0096	0.4444	allelic	141	132	9	0	0.0319	0.063829787	0	341191	295688	43881	1622	0.0691	0.133365183	0.004753935	0.2288	0.8633
