Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
Union#G231#Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	Chapter VI Diseases of the nervous system	European	1.11E-15	0.2823	allelic	205	176	27	2	0.0756	0.141463415	0.009756098	235187	141520	81657	12010	0.2247	0.398266061	0.051065748	0.1957	0.4071
131023#Source of report of G20 (Parkinson disease)	Chapter VI Diseases of the nervous system	European	7.06E-14	0.8137	allelic	4153	2740	1235	178	0.1915	0.340235974	0.042860583	331629	199119	115445	17065	0.2255	0.399573017	0.051458105	0.7702	0.8597
131529#Source of report of J84 (Other interstitial pulmonary diseases)	Chapter X Diseases of the respiratory system	European	1.36E-13	0.8202	allelic	4376	2858	1351	167	0.1925	0.346892139	0.038162706	344944	207326	119851	17767	0.2252	0.398957512	0.051506911	0.7775	0.8652
Union#G20#Parkinson disease	Chapter VI Diseases of the nervous system	European	1.43E-13	0.8154	allelic	4153	2740	1235	178	0.1915	0.340235974	0.042860583	229556	138011	79725	11820	0.2251	0.39879158	0.051490704	0.7717	0.8616
Union#J84#Other interstitial pulmonary diseases	Chapter X Diseases of the respiratory system	European	3.71E-13	0.8247	allelic	4536	2962	1401	173	0.1926	0.347001764	0.03813933	156213	94069	54205	7939	0.2243	0.397815803	0.050821635	0.7823	0.8695
41202#M16#Coxarthrosis [arthrosis of hip]	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.70E-13	1.088	allelic	21890	12705	7930	1255	0.2385	0.41959799	0.057332115	284641	171856	98340	14445	0.2235	0.39623596	0.050748135	1.0634	1.1131
Union#Block J80-J84#J80-J84 Other respiratory diseases principally affecting the interstitium	Chapter X Diseases of the respiratory system	European	4.29E-12	0.8482	allelic	5602	3613	1764	225	0.1976	0.355051767	0.040164227	162661	97730	56657	8274	0.225	0.399179889	0.050866526	0.809	0.8892
42035#Source of progressive supranuclear palsy report	Chapter VI Diseases of the nervous system	European	6.23E-12	0.3171	allelic	172	145	25	2	0.0843	0.156976744	0.011627907	343404	206539	119191	17674	0.225	0.39855389	0.051467077	0.2168	0.4639
42031#Source of all cause parkinsonism report	Chapter VI Diseases of the nervous system	European	8.02E-12	0.8233	allelic	3865	2549	1138	178	0.1933	0.340491591	0.046054334	334547	200961	116351	17235	0.2254	0.399304134	0.051517425	0.7779	0.8713
41202#Block M15-M19#M15-M19 Arthrosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.19E-11	1.0547	allelic	54304	31982	19350	2972	0.2329	0.411056276	0.054728933	294353	177757	101611	14985	0.2235	0.396109433	0.050908263	1.0387	1.071
